"Site_Orig","Lat","Long","Date","Depth","Block","Class","Species","Total","Pres","Site"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Achoerodus viridis",3,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Achoerodus viridis",3,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Ostorhinchus limenus",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Atypichthys strigatus",700,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Atypichthys strigatus",305,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Cheilodactylus fuscus",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Cheilodactylus fuscus",2,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Heteroscarus acroptilus",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Notolabrus gymnogenis",4,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Notolabrus gymnogenis",10,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Olisthops cyanomelas",8,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Ophthalmolepis lineolata",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Ophthalmolepis lineolata",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Parma microlepis",6,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Parma microlepis",9,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Pempheris compressa",50,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Scobinichthys granulatus",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Scobinichthys granulatus",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Scorpaena jacksoniensis",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Scorpis lineolata",1,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,1,"Actinopterygii","Trachinops taeniatus",30,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-07-31,5,2,"Actinopterygii","Trachinops taeniatus",20,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-08-02,5.3,1,"Actinopterygii","Achoerodus viridis",2,1,"Oak Park"
"Oak Park",-34.07,151.16,2009-08-02,5.3,2,"Actinopterygii","Achoerodus viridis",4,1,"Oak Park"
