"Species","Pres","Year","Site","Dataset"
"Pseudobalistes flavimarginatus",1,"2017","Clifton Gardens","iNat"
"Scorpaenopsis neglecta",1,"2017","Clifton Gardens","iNat"
"Repomucenus calcaratus",1,"2017","Clifton Gardens","iNat"
"Pseudolabrus guentheri",1,"2017","Clifton Gardens","iNat"
"Synodus dermatogenys",1,"2017","Camp Cove","iNat"
"Meuschenia freycineti",1,"2017","Camp Cove","iNat"
"Ostorhinchus limenus",1,"2017","Camp Cove","iNat"
"Naso unicornis",1,"2017","Camp Cove","iNat"
"Cirrhilabrus punctatus",1,"2017","Camp Cove","iNat"
"Pempheris compressa",1,"2017","Shelly Beach","iNat"
"Eubalichthys bucephalus",1,"2017","Shelly Beach","iNat"
"Trygonoptera testacea",1,"2017","Shelly Beach","iNat"
"Lethrinus nebulosus",1,"2017","Shelly Beach","iNat"
"Pomatomus saltatrix",1,"2017","Shelly Beach","iNat"
"Siphamia roseigaster",1,"2017","Shelly Beach","iNat"
"Ostorhinchus limenus",1,"2017","Bare Island","iNat"
"Parapercis ramsayi",1,"2017","Bare Island","iNat"
"Eupetrichthys angustipes",1,"2017","Bare Island","iNat"
"Cheilodactylus vestitus",1,"2017","Bare Island","iNat"
"Stethojulis interrupta",1,"2017","Shelly Beach","iNat"
"Parupeneus multifasciatus",1,"2017","Shelly Beach","iNat"
"Seriola hippos",1,"2017","Shelly Beach","iNat"
"Zanclus cornutus",1,"2017","Shelly Beach","iNat"
"Naso unicornis",1,"2017","Shelly Beach","iNat"
"Carcharhinus obscurus",1,"2017","Shelly Beach","iNat"
"Fistularia petimba",1,"2017","Shelly Beach","iNat"
"Acanthurus dussumieri",1,"2017","Shelly Beach","iNat"
"Prionurus microlepidotus",1,"2017","Shelly Beach","iNat"
"Acanthurus nigrofuscus",1,"2017","Shelly Beach","iNat"
"Synodus dermatogenys",1,"2017","Shelly Beach","iNat"
"Meuschenia freycineti",1,"2017","Shelly Beach","iNat"
"Chaetodon guentheri",1,"2017","Shelly Beach","iNat"
"Epinephelus maculatus",1,"2017","Shiprock","iNat"
"Ophthalmolepis lineolata",1,"2017","Shelly Beach","iNat"
"Caranx sexfasciatus",1,"2017","Shelly Beach","iNat"
"Orectolobus halei",1,"2017","Shelly Beach","iNat"
"Chaetodon flavirostris",1,"2017","Shelly Beach","iNat"
"Monacanthus chinensis",1,"2017","Camp Cove","iNat"
"Meuschenia trachylepis",1,"2017","Camp Cove","iNat"
"Lactoria fornasini",1,"2017","Camp Cove","iNat"
"Prionurus maculatus",1,"2017","Shelly Beach","iNat"
"Parma polylepis",1,"2017","Shelly Beach","iNat"
"Arothron nigropunctatus",1,"2017","Kurnell","iNat"
"Stethojulis bandanensis",1,"2017","Oak Park","iNat"
"Latropiscis purpurissatus",1,"2017","Bare Island","iNat"
"Microcanthus strigatus",1,"2017","Bare Island","iNat"
"Scorpaena jacksoniensis",1,"2017","Bare Island","iNat"
"Dendrochirus brachypterus",1,"2017","Bare Island","iNat"
"Canthigaster callisterna",1,"2017","Bare Island","iNat"
"Mecaenichthys immaculatus",1,"2017","Bare Island","iNat"
"Hypoplectrodes maccullochi",1,"2017","Gordons Bay","iNat"
"Gymnothorax prasinus",1,"2017","Gordons Bay","iNat"
"Rhinecanthus rectangulus",1,"2017","Shelly Beach","iNat"
"Carangoides orthogrammus",1,"2017","Shelly Beach","iNat"
"Cheilodactylus vestitus",1,"2017","Shelly Beach","iNat"
"Trachinotus baillonii",1,"2017","Shelly Beach","iNat"
"Thalassoma lunare",1,"2017","Oak Park","iNat"
"Labroides dimidiatus",1,"2017","Shelly Beach","iNat"
"Diagramma labiosum",1,"2017","Camp Cove","iNat"
"Tetractenos glaber",1,"2017","Shelly Beach","iNat"
"Meuschenia flavolineata",1,"2017","Shelly Beach","iNat"
"Abudefduf vaigiensis",1,"2017","Shelly Beach","iNat"
"Enoplosus armatus",1,"2017","Oak Park","iNat"
"Pempheris compressa",1,"2017","Oak Park","iNat"
"Plotosus lineatus",1,"2017","Bare Island","iNat"
"Schuettea scalaripinnis",1,"2017","Bare Island","iNat"
"Upeneus australiae",1,"2017","Bare Island","iNat"
"Hippocampus kelloggi",1,"2017","Bare Island","iNat"
"Anoplocapros inermis",1,"2017","Bare Island","iNat"
"Hypoplectrodes maccullochi",1,"2017","Bare Island","iNat"
"Ophthalmolepis lineolata",1,"2017","Bare Island","iNat"
"Istigobius hoesei",1,"2017","Bare Island","iNat"
"Lethrinus genivittatus",1,"2017","Shelly Beach","iNat"
"Platycephalus caeruleopunctatus",1,"2017","Shelly Beach","iNat"
"Acanthurus pyroferus",1,"2017","Oak Park","iNat"
"Achoerodus viridis",1,"2017","Oak Park","iNat"
"Cheilodactylus vestitus",1,"2017","Oak Park","iNat"
"Meuschenia freycineti",1,"2017","Oak Park","iNat"
"Meuschenia venusta",1,"2017","Oak Park","iNat"
"Ophthalmolepis lineolata",1,"2017","Oak Park","iNat"
"Pastinachus ater",1,"2017","Shelly Beach","iNat"
"Squatina australis",1,"2017","Shelly Beach","iNat"
"Nomeus gronovii",1,"2017","Shelly Beach","iNat"
"Monacanthus chinensis",1,"2017","Bare Island","iNat"
"Notolabrus gymnogenis",1,"2017","Bare Island","iNat"
"Pempheris compressa",1,"2017","Bare Island","iNat"
"Pristotis obtusirostris",1,"2017","Clifton Gardens","iNat"
"Pempheris affinis",1,"2017","Bare Island","iNat"
"Hypnos monopterygius",1,"2017","Clifton Gardens","iNat"
"Thysanophrys cirronasa",1,"2017","Shelly Beach","iNat"
"Hypnos monopterygius",1,"2017","Shelly Beach","iNat"
"Dascyllus reticulatus",1,"2017","Shelly Beach","iNat"
"Lutjanus fulviflamma",1,"2017","Shelly Beach","iNat"
"Plagiotremus laudandus",1,"2017","Shelly Beach","iNat"
"Chaetodon citrinellus",1,"2017","Shelly Beach","iNat"
"Trachurus novaezelandiae",1,"2017","Shelly Beach","iNat"
"Heterodontus galeatus",1,"2017","Shelly Beach","iNat"
"Pseudolabrus guentheri",1,"2017","Gordons Bay","iNat"
"Stethojulis bandanensis",1,"2017","Gordons Bay","iNat"
"Siganus fuscescens",1,"2017","Gordons Bay","iNat"
"Chaetodon flavirostris",1,"2017","Gordons Bay","iNat"
"Trachinops taeniatus",1,"2017","Bare Island","iNat"
"Ostorhinchus limenus",1,"2017","Shelly Beach","iNat"
"Istigobius hoesei",1,"2017","Clifton Gardens","iNat"
"Pentapodus paradiseus",1,"2017","Shelly Beach","iNat"
"Upeneus tragula",1,"2017","Shelly Beach","iNat"
"Canthigaster callisterna",1,"2017","Oak Park","iNat"
"Meuschenia trachylepis",1,"2017","Oak Park","iNat"
"Heterodontus portusjacksoni",1,"2017","Shelly Beach","iNat"
"Heteropriacanthus cruentatus ",1,"2017","Shelly Beach","iNat"
"Chaetodon pelewensis",1,"2017","Shelly Beach","iNat"
"Antennarius pictus",1,"2017","Kurnell","iNat"
"Eocallionymus papilio",1,"2017","Kurnell","iNat"
"Lutjanus fulviflamma",1,"2017","Shiprock","iNat"
"Parma microlepis",1,"2017","Bare Island","iNat"
"Epinephelus undulatostriatus",1,"2017","Shiprock","iNat"
"Parupeneus spilurus",1,"2017","Shiprock","iNat"
"Trachurus novaezelandiae",1,"2017","Shiprock","iNat"
"Upeneichthys lineatus",1,"2017","Bare Island","iNat"
"Scorpaena jacksoniensis",1,"2017","Shelly Beach","iNat"
"Chelmonops truncatus",1,"2017","Shiprock","iNat"
"Cheilodactylus fuscus",1,"2017","Shiprock","iNat"
"Ostorhinchus limenus",1,"2017","Clifton Gardens","iNat"
"Plotosus lineatus",1,"2017","Shiprock","iNat"
"Trachinops taeniatus",1,"2017","Clifton Gardens","iNat"
"Meuschenia trachylepis",1,"2017","Shiprock","iNat"
"Kyphosus sydneyanus",1,"2017","Shelly Beach","iNat"
"Brachaelurus waddi",1,"2017","Shelly Beach","iNat"
"Acanthurus triostegus",1,"2017","Gordons Bay","iNat"
"Parma oligolepis",1,"2017","Shelly Beach","iNat"
"Cantherhines pardalis",1,"2017","Shelly Beach","iNat"
"Scarus ghobban",1,"2017","Shelly Beach","iNat"
"Upeneichthys lineatus",1,"2017","Shiprock","iNat"
"Cheilodactylus vestitus",1,"2017","Shiprock","iNat"
"Parupeneus spilurus",1,"2017","Clifton Gardens","iNat"
"Microcanthus strigatus",1,"2017","Shiprock","iNat"
"Trachurus novaezelandiae",1,"2017","Clifton Gardens","iNat"
"Istigobius hoesei",1,"2017","Shiprock","iNat"
"Arothron hispidus",1,"2017","Shiprock","iNat"
"Atypichthys strigatus",1,"2017","Shiprock","iNat"
"Dicotylichthys punctulatus",1,"2017","Clifton Gardens","iNat"
"Pictilabrus laticlavius",1,"2017","Bare Island","iNat"
"Scorpaena jacksoniensis",1,"2017","Shiprock","iNat"
"Monacanthus chinensis",1,"2017","Shiprock","iNat"
"Chrysophrys auratus",1,"2017","Bare Island","iNat"
"Cheilodactylus vestitus",1,"2017","Clifton Gardens","iNat"
"Coris picta",1,"2017","Oak Park","iNat"
"Girella tricuspidata",1,"2017","Oak Park","iNat"
"Hypoplectrodes nigroruber",1,"2017","Oak Park","iNat"
"Stethojulis bandanensis",1,"2017","Shelly Beach","iNat"
"Chaetodon auriga",1,"2017","Shelly Beach","iNat"
"Solenostomus paradoxus",1,"2017","Kurnell","iNat"
"Pictilabrus laticlavius",1,"2017","Kurnell","iNat"
"Eupetrichthys angustipes",1,"2017","Oak Park","iNat"
"Microcanthus strigatus",1,"2017","Oak Park","iNat"
"Upeneichthys lineatus",1,"2017","Oak Park","iNat"
"Centropogon australis",1,"2017","Kurnell","iNat"
"Lotella rhacina",1,"2017","Oak Park","iNat"
"Sarda australis",1,"2017","Oak Park","iNat"
"Abudefduf vaigiensis",1,"2017","Gordons Bay","iNat"
"Acanthaluteres spilomelanurus",1,"2017","Clifton Gardens","iNat"
"Aploactisoma milesii",1,"2017","Kurnell","iNat"
"Thysanophrys cirronasa",1,"2017","Kurnell","iNat"
"Hippocampus whitei",1,"2017","Bare Island","iNat"
"Eurypegasus draconis",1,"2017","Kurnell","iNat"
"Batrachomoeus dubius",1,"2017","Bare Island","iNat"
"Chromis hypsilepis",1,"2017","Oak Park","iNat"
"Orectolobus halei",1,"2017","Oak Park","iNat"
"Ostorhinchus limenus",1,"2017","Oak Park","iNat"
"Scorpis lineolata",1,"2017","Oak Park","iNat"
"Heterodontus portusjacksoni",1,"2017","Oak Park","iNat"
"Squatina australis",1,"2017","Oak Park","iNat"
"Anoplocapros inermis",1,"2017","Oak Park","iNat"
"Dicotylichthys punctulatus",1,"2017","Oak Park","iNat"
"Trachinops taeniatus",1,"2017","Oak Park","iNat"
"Porophryne erythrodactylus",1,"2017","Kurnell","iNat"
"Scobinichthys granulatus",1,"2017","Clifton Gardens","iNat"
"Sillago ciliata",1,"2017","Clifton Gardens","iNat"
"Tetractenos hamiltoni",1,"2017","Clifton Gardens","iNat"
"Malvoliophis pinguis",1,"2017","Camp Cove","iNat"
"Taenianotus triacanthus",1,"2017","Kurnell","iNat"
"Scarus ghobban",1,"2017","Shiprock","iNat"
"Gymnothorax prasinus",1,"2017","Shelly Beach","iNat"
"Leptoscarus vaigiensis",1,"2017","Shelly Beach","iNat"
"Bathytoshia brevicaudata",1,"2017","Shelly Beach","iNat"
"Heteroclinus whiteleggii",1,"2017","Shelly Beach","iNat"
"Chironemus marmoratus",1,"2017","Shelly Beach","iNat"
"Dendrochirus brachypterus",1,"2017","Kurnell","iNat"
"Aplodactylus lophodon",1,"2017","Shelly Beach","iNat"
"Aploactisoma milesii",1,"2017","Bare Island","iNat"
"Lethrinus genivittatus",1,"2017","Clifton Gardens","iNat"
"Parupeneus spilurus",1,"2017","Camp Cove","iNat"
"Upeneichthys lineatus",1,"2017","Camp Cove","iNat"
"Tetractenos glaber",1,"2017","Camp Cove","iNat"
"Schuettea scalaripinnis",1,"2017","Camp Cove","iNat"
"Trachinops taeniatus",1,"2017","Camp Cove","iNat"
"Acanthaluteres vittiger",1,"2017","Camp Cove","iNat"
"Brachaluteres jacksonianus",1,"2017","Camp Cove","iNat"
"Fistularia commersonii",1,"2017","Camp Cove","iNat"
"Eupetrichthys angustipes",1,"2017","Camp Cove","iNat"
"Tetractenos hamiltoni",1,"2017","Camp Cove","iNat"
"Carangoides chrysophrys",1,"2017","Shelly Beach","iNat"
"Carangoides ferdau",1,"2017","Shelly Beach","iNat"
"Lepidoblennius haplodactylus",1,"2017","Shelly Beach","iNat"
"Brachirus niger",1,"2017","Shelly Beach","iNat"
"Cochleoceps orientalis",1,"2017","Shelly Beach","iNat"
"Parma unifasciata",1,"2017","Shelly Beach","iNat"
"Epinephelus daemelii",1,"2017","Shelly Beach","iNat"
"Chaetodon auriga",1,"2017","Clifton Gardens","iNat"
"Pseudolabrus guentheri",1,"2017","Shiprock","iNat"
"Eocallionymus papilio",1,"2017","Shelly Beach","iNat"
"Ostorhinchus limenus",1,"2017","Shiprock","iNat"
"Scorpis lineolata",1,"2017","Shiprock","iNat"
"Parapercis nebulosa",1,"2017","Clifton Gardens","iNat"
"Filicampus tigris",1,"2017","Camp Cove","iNat"
"Notiocampus ruber",1,"2017","Kurnell","iNat"
"Lissocampus runa",1,"2017","Kurnell","iNat"
"Centropogon australis",1,"2017","Shelly Beach","iNat"
"Istigobius hoesei",1,"2017","Shelly Beach","iNat"
"Bathygobius cocosensis",1,"2017","Shelly Beach","iNat"
"Trachypoma macracanthus",1,"2017","Shelly Beach","iNat"
"Stegastes gascoynei",1,"2017","Shelly Beach","iNat"
"Anampses caeruleopunctatus",1,"2017","Shelly Beach","iNat"
"Halichoeres marginatus",1,"2017","Shelly Beach","iNat"
"Parablennius intermedius",1,"2017","Shelly Beach","iNat"
"Phyllopteryx taeniolatus",1,"2017","Shelly Beach","iNat"
"Cantherhines pardalis",1,"2017","Gordons Bay","iNat"
"Siphamia roseigaster",1,"2017","Clifton Gardens","iNat"
"Atherinomorus vaigiensis",1,"2017","Camp Cove","iNat"
"Parma microlepis",1,"2017","Shiprock","iNat"
"Upeneichthys lineatus",1,"2017","Clifton Gardens","iNat"
"Pempheris affinis",1,"2017","Camp Cove","iNat"
"Ostorhinchus fasciatus",1,"2017","Clifton Gardens","iNat"
"Hypoplectrodes maccullochi",1,"2017","Camp Cove","iNat"
"Trygonoptera testacea",1,"2017","Camp Cove","iNat"
"Thalassoma lutescens",1,"2017","Shelly Beach","iNat"
"Cheilio inermis",1,"2017","Shelly Beach","iNat"
"Dendrochirus zebra",1,"2017","Kurnell","iNat"
"Aseraggodes lenisquamis",1,"2017","Camp Cove","iNat"
"Acanthopagrus australis",1,"2017","Shiprock","iNat"
"Upeneus australiae",1,"2017","Clifton Gardens","iNat"
"Naso unicornis",1,"2017","Gordons Bay","iNat"
"Enoplosus armatus",1,"2017","Shiprock","iNat"
"Microcanthus strigatus",1,"2017","Camp Cove","iNat"
"Trygonoptera testacea",1,"2017","Clifton Gardens","iNat"
"Synodus variegatus",1,"2017","Bare Island","iNat"
"Torquigener pleurogramma",1,"2017","Shelly Beach","iNat"
"Repomucenus calcaratus",1,"2017","Shelly Beach","iNat"
"Dinolestes lewini",1,"2017","Shelly Beach","iNat"
"Batrachomoeus dubius",1,"2017","Camp Cove","iNat"
"Pseudanthias rubrizonatus",1,"2017","Shiprock","iNat"
"Parma microlepis",1,"2017","Camp Cove","iNat"
"Chromis nitida",1,"2017","Shiprock","iNat"
"Atypichthys strigatus",1,"2017","Camp Cove","iNat"
"Halichoeres nebulosus",1,"2017","Shelly Beach","iNat"
"Girella elevata",1,"2017","Shelly Beach","iNat"
"Trachinops taeniatus",1,"2017","Shiprock","iNat"
"Centropogon australis",1,"2017","Clifton Gardens","iNat"
"Cheilodactylus vestitus",1,"2017","Camp Cove","iNat"
"Brachaluteres jacksonianus",1,"2017","Bare Island","iNat"
"Coris picta",1,"2017","Shiprock","iNat"
"Stethojulis trilineata",1,"2017","Shelly Beach","iNat"
"Batrachomoeus dubius",1,"2017","Shiprock","iNat"
"Cheilodactylus fuscus",1,"2017","Bare Island","iNat"
"Hypoplectrodes maccullochi",1,"2017","Shiprock","iNat"
"Heterodontus portusjacksoni",1,"2017","Bare Island","iNat"
"Trachichthys australis",1,"2017","Camp Cove","iNat"
"Neoodax balteatus",1,"2017","Clifton Gardens","iNat"
"Antennarius pictus",1,"2017","Bare Island","iNat"
"Hippocampus kelloggi",1,"2017","Kurnell","iNat"
"Dinolestes lewini",1,"2017","Camp Cove","iNat"
"Valenciennea immaculata",1,"2017","Shiprock","iNat"
"Hippocampus abdominalis",1,"2017","Kurnell","iNat"
