"Species","Pres","Year","Site","Dataset"
"Platycephalus endrachtensis",1,"2018","Shelly Beach","iNat"
"Acanthopagrus australis",1,"2018","Shiprock","iNat"
"Microcanthus strigatus",1,"2018","Shiprock","iNat"
"Monacanthus chinensis",1,"2018","Shiprock","iNat"
"Brachaluteres jacksonianus",1,"2018","Shelly Beach","iNat"
"Scobinichthys granulatus",1,"2018","Shelly Beach","iNat"
"Abudefduf vaigiensis",1,"2018","Shiprock","iNat"
"Upeneichthys lineatus",1,"2018","Shiprock","iNat"
"Girella tricuspidata",1,"2018","Shiprock","iNat"
"Cheilodactylus vestitus",1,"2018","Shiprock","iNat"
"Trachinops taeniatus",1,"2018","Shiprock","iNat"
"Chelmonops truncatus",1,"2018","Shiprock","iNat"
"Pseudolabrus guentheri",1,"2018","Shiprock","iNat"
"Thalassoma lunare",1,"2018","Shiprock","iNat"
"Prionurus microlepidotus",1,"2018","Shiprock","iNat"
"Parupeneus spilurus",1,"2018","Shiprock","iNat"
"Cheilodactylus fuscus",1,"2018","Shiprock","iNat"
"Parma microlepis",1,"2018","Gordons Bay","iNat"
"Girella tricuspidata",1,"2018","Gordons Bay","iNat"
"Tetractenos glaber",1,"2018","Gordons Bay","iNat"
"Cheilodactylus fuscus",1,"2018","Gordons Bay","iNat"
"Pictilabrus laticlavius",1,"2018","Gordons Bay","iNat"
"Microcanthus strigatus",1,"2018","Gordons Bay","iNat"
"Atypichthys strigatus",1,"2018","Gordons Bay","iNat"
"Hypoplectrodes maccullochi",1,"2017","Kurnell","iNat"
"Meuschenia freycineti",1,"2017","Bare Island","iNat"
"Notolabrus gymnogenis",1,"2017","Kurnell","iNat"
"Aploactisoma milesii",1,"2018","Kurnell","iNat"
"Eubalichthys mosaicus",1,"2018","Shelly Beach","iNat"
"Parma unifasciata",1,"2018","Shelly Beach","iNat"
"Eocallionymus papilio",1,"2018","Clifton Gardens","iNat"
"Repomucenus calcaratus",1,"2018","Shelly Beach","iNat"
"Eupetrichthys angustipes",1,"2018","Shelly Beach","iNat"
"Brachaelurus waddi",1,"2018","Shelly Beach","iNat"
"Enneapterygius atrogulare",1,"2018","Shelly Beach","iNat"
"Olisthops cyanomelas",1,"2018","Shelly Beach","iNat"
"Trygonorrhina fasciata",1,"2018","Oak Park","iNat"
"Festucalex cinctus",1,"2018","Gordons Bay","iNat"
"Diploprion bifasciatum",1,"2018","Shelly Beach","iNat"
"Myliobatis tenuicaudatus",1,"2018","Shelly Beach","iNat"
"Scorpis lineolata",1,"2017","Kurnell","iNat"
"Pseudanthias squamipinnis",1,"2018","Shelly Beach","iNat"
"Pomacentrus coelestis",1,"2018","Shelly Beach","iNat"
"Plagiotremus tapeinosoma",1,"2018","Shelly Beach","iNat"
"Stethojulis interrupta",1,"2018","Shelly Beach","iNat"
"Acanthistius ocellatus",1,"2018","Shelly Beach","iNat"
"Monacanthus chinensis",1,"2018","Shelly Beach","iNat"
"Bathytoshia brevicaudata",1,"2018","Shelly Beach","iNat"
"Cheilodactylus vestitus",1,"2018","Shelly Beach","iNat"
"Pseudolabrus guentheri",1,"2018","Shelly Beach","iNat"
"Pempheris compressa",1,"2018","Shelly Beach","iNat"
"Trachurus novaezelandiae",1,"2018","Shelly Beach","iNat"
"Pempheris affinis",1,"2018","Shelly Beach","iNat"
"Chromis hypsilepis",1,"2018","Gordons Bay","iNat"
"Ophthalmolepis lineolata",1,"2018","Gordons Bay","iNat"
"Pseudocaranx georgianus",1,"2018","Gordons Bay","iNat"
"Notolabrus gymnogenis",1,"2018","Gordons Bay","iNat"
"Pempheris compressa",1,"2018","Gordons Bay","iNat"
"Mecaenichthys immaculatus",1,"2018","Gordons Bay","iNat"
"Upeneichthys lineatus",1,"2018","Gordons Bay","iNat"
"Prionurus microlepidotus",1,"2018","Gordons Bay","iNat"
"Anampses caeruleopunctatus",1,"2018","Gordons Bay","iNat"
"Girella elevata",1,"2018","Gordons Bay","iNat"
"Parupeneus spilurus",1,"2018","Gordons Bay","iNat"
"Plagiotremus tapeinosoma",1,"2018","Gordons Bay","iNat"
"Meuschenia trachylepis",1,"2018","Gordons Bay","iNat"
"Brachaluteres jacksonianus",1,"2018","Gordons Bay","iNat"
"Stigmatopora nigra",1,"2018","Shelly Beach","iNat"
"Idiotropiscis lumnitzeri",1,"2018","Kurnell","iNat"
"Hippocampus kelloggi",1,"2018","Kurnell","iNat"
"Antennarius pictus",1,"2018","Kurnell","iNat"
"Porophryne erythrodactylus",1,"2018","Kurnell","iNat"
"Hippocampus abdominalis",1,"2018","Kurnell","iNat"
"Cochleoceps orientalis",1,"2018","Kurnell","iNat"
"Phyllopteryx taeniolatus",1,"2018","Kurnell","iNat"
"Abudefduf sordidus",1,"2018","Shelly Beach","iNat"
"Heniochus diphreutes",1,"2018","Clifton Gardens","iNat"
"Atypichthys strigatus",1,"2017","Bare Island","iNat"
"Pempheris affinis",1,"2017","Shelly Beach","iNat"
"Parma unifasciata",1,"2017","Gordons Bay","iNat"
"Nomeus gronovii",1,"2018","Shelly Beach","iNat"
"Acanthurus lineatus",1,"2018","Shelly Beach","iNat"
"Hyporhamphus australis",1,"2018","Shelly Beach","iNat"
"Stegastes gascoynei",1,"2018","Shelly Beach","iNat"
"Trygonorrhina fasciata",1,"2018","Bare Island","iNat"
"Orectolobus maculatus",1,"2018","Shelly Beach","iNat"
"Girella tricuspidata",1,"2018","Shelly Beach","iNat"
"Anampses caeruleopunctatus",1,"2018","Oak Park","iNat"
"Rhabdosargus sarba",1,"2018","Oak Park","iNat"
"Arothron hispidus",1,"2018","Oak Park","iNat"
"Scobinichthys granulatus",1,"2018","Oak Park","iNat"
"Arothron hispidus",1,"2018","Shelly Beach","iNat"
"Chaetodon flavirostris",1,"2018","Shelly Beach","iNat"
"Ptereleotris monoptera",1,"2018","Shelly Beach","iNat"
"Aspidontus taeniatus",1,"2018","Shelly Beach","iNat"
"Chaetodon kleinii",1,"2018","Shelly Beach","iNat"
"Zanclus cornutus",1,"2018","Shelly Beach","iNat"
"Paraluteres prionurus",1,"2018","Shelly Beach","iNat"
"Heteroclinus roseus",1,"2018","Shelly Beach","iNat"
"Ctenochaetus striatus",1,"2018","Shelly Beach","iNat"
"Ostracion cubicus",1,"2018","Shelly Beach","iNat"
"Heterodontus galeatus",1,"2017","Bare Island","iNat"
"Coryphaena hippurus",1,"2018","Shelly Beach","iNat"
"Atherinomorus vaigiensis",1,"2018","Shelly Beach","iNat"
"Parma microlepis",1,"2018","Oak Park","iNat"
"Latropiscis purpurissatus",1,"2018","Oak Park","iNat"
"Aspidontus taeniatus",1,"2018","Oak Park","iNat"
"Trachinops taeniatus",1,"2018","Oak Park","iNat"
"Enoplosus armatus",1,"2018","Oak Park","iNat"
"Achoerodus viridis",1,"2018","Oak Park","iNat"
"Notolabrus gymnogenis",1,"2018","Oak Park","iNat"
"Microcanthus strigatus",1,"2018","Oak Park","iNat"
"Mecaenichthys immaculatus",1,"2018","Oak Park","iNat"
"Dinolestes lewini",1,"2018","Oak Park","iNat"
"Scorpaena jacksoniensis",1,"2018","Oak Park","iNat"
"Chrysophrys auratus",1,"2018","Oak Park","iNat"
"Scorpis lineolata",1,"2018","Oak Park","iNat"
"Ophthalmolepis lineolata",1,"2018","Oak Park","iNat"
"Sarda australis",1,"2018","Shelly Beach","iNat"
"Heteropriacanthus cruentatus ",1,"2018","Shelly Beach","iNat"
"Thalassoma lutescens",1,"2018","Shelly Beach","iNat"
"Hypnos monopterygius",1,"2018","Bare Island","iNat"
"Dendrochirus brachypterus",1,"2018","Bare Island","iNat"
"Fistularia commersonii",1,"2018","Camp Cove","iNat"
"Achoerodus viridis",1,"2018","Gordons Bay","iNat"
"Solenostomus cyanopterus",1,"2018","Kurnell","iNat"
"Antennarius striatus",1,"2018","Clifton Gardens","iNat"
"Pomacentrus coelestis",1,"2018","Shiprock","iNat"
"Chaetodon flavirostris",1,"2018","Shiprock","iNat"
"Abudefduf bengalensis",1,"2018","Shiprock","iNat"
"Dicotylichthys punctulatus",1,"2018","Shiprock","iNat"
"Scorpaena jacksoniensis",1,"2018","Shiprock","iNat"
"Plotosus lineatus",1,"2018","Kurnell","iNat"
"Acanthopagrus australis",1,"2018","Gordons Bay","iNat"
"Eupetrichthys angustipes",1,"2018","Gordons Bay","iNat"
"Pseudolabrus guentheri",1,"2018","Gordons Bay","iNat"
"Parma unifasciata",1,"2018","Gordons Bay","iNat"
"Scorpis lineolata",1,"2018","Gordons Bay","iNat"
"Schuettea scalaripinnis",1,"2018","Gordons Bay","iNat"
"Stethojulis interrupta",1,"2018","Gordons Bay","iNat"
"Trachinops taeniatus",1,"2018","Gordons Bay","iNat"
"Hippocampus whitei",1,"2018","Clifton Gardens","iNat"
"Heniochus acuminatus",1,"2018","Clifton Gardens","iNat"
"Oxycheilinus bimaculatus",1,"2018","Clifton Gardens","iNat"
"Arothron stellatus",1,"2018","Clifton Gardens","iNat"
"Hyporhamphus australis",1,"2018","Gordons Bay","iNat"
"Bathygobius cocosensis",1,"2018","Shelly Beach","iNat"
"Rhynchobatus australiae",1,"2018","Clifton Gardens","iNat"
"Cleidopus gloriamaris",1,"2018","Clifton Gardens","iNat"
"Girella elevata",1,"2018","Shelly Beach","iNat"
"Arothron hispidus",1,"2017","Kurnell","iNat"
"Petroscirtes lupus",1,"2018","Clifton Gardens","iNat"
"Enneapterygius atrogulare",1,"2018","Clifton Gardens","iNat"
"Istigobius hoesei",1,"2018","Clifton Gardens","iNat"
"Centropogon australis",1,"2018","Clifton Gardens","iNat"
"Arothron hispidus",1,"2018","Shiprock","iNat"
"Acanthurus triostegus",1,"2018","Shiprock","iNat"
"Abudefduf whitleyi",1,"2018","Shiprock","iNat"
"Enneapterygius atrogulare",1,"2018","Shiprock","iNat"
"Gymnothorax prasinus",1,"2018","Shiprock","iNat"
"Ostorhinchus limenus",1,"2018","Shiprock","iNat"
"Scarus ghobban",1,"2018","Shiprock","iNat"
"Atypichthys strigatus",1,"2018","Shiprock","iNat"
"Chaetodon guentheri",1,"2018","Kurnell","iNat"
"Thysanophrys cirronasa",1,"2018","Kurnell","iNat"
"Lactoria fornasini",1,"2018","Kurnell","iNat"
"Fistularia commersonii",1,"2018","Shiprock","iNat"
"Pomacentrus bankanensis",1,"2018","Shelly Beach","iNat"
"Chaetodon vagabundus",1,"2018","Shelly Beach","iNat"
"Dascyllus trimaculatus",1,"2018","Shelly Beach","iNat"
"Chaetodon citrinellus",1,"2018","Shelly Beach","iNat"
"Lutjanus kasmira",1,"2018","Shelly Beach","iNat"
"Acanthurus triostegus",1,"2018","Shelly Beach","iNat"
"Petroscirtes lupus",1,"2018","Shiprock","iNat"
"Trachurus novaezelandiae",1,"2018","Shiprock","iNat"
"Plectroglyphidodon dickii",1,"2018","Shelly Beach","iNat"
"Trygonorrhina fasciata",1,"2018","Shelly Beach","iNat"
"Pictilabrus laticlavius",1,"2018","Shelly Beach","iNat"
"Meuschenia flavolineata",1,"2018","Shelly Beach","iNat"
"Lutjanus bohar",1,"2018","Shelly Beach","iNat"
"Cantherhines pardalis",1,"2018","Shelly Beach","iNat"
"Microcanthus strigatus",1,"2018","Shelly Beach","iNat"
"Dinolestes lewini",1,"2018","Shelly Beach","iNat"
"Anampses caeruleopunctatus",1,"2018","Shelly Beach","iNat"
"Chironemus marmoratus",1,"2018","Shelly Beach","iNat"
"Paraplesiops bleekeri",1,"2018","Shelly Beach","iNat"
"Chromis margaritifer",1,"2018","Shelly Beach","iNat"
"Phyllopteryx taeniolatus",1,"2018","Shelly Beach","iNat"
"Heterodontus galeatus",1,"2018","Shelly Beach","iNat"
"Sillago ciliata",1,"2018","Gordons Bay","iNat"
"Fistularia commersonii",1,"2018","Gordons Bay","iNat"
"Kyphosus sydneyanus",1,"2018","Gordons Bay","iNat"
"Acanthurus triostegus",1,"2018","Gordons Bay","iNat"
"Rhinecanthus rectangulus",1,"2018","Gordons Bay","iNat"
"Naso annulatus",1,"2018","Gordons Bay","iNat"
"Paraluteres prionurus",1,"2018","Kurnell","iNat"
"Apogon semiornatus",1,"2018","Shelly Beach","iNat"
"Hippocampus whitei",1,"2018","Kurnell","iNat"
"Zanclus cornutus",1,"2018","Kurnell","iNat"
"Synodus jaculum",1,"2018","Shelly Beach","iNat"
"Scorpaena jacksoniensis",1,"2018","Kurnell","iNat"
"Acanthopagrus australis",1,"2018","Shelly Beach","iNat"
"Abudefduf whitleyi",1,"2018","Shelly Beach","iNat"
"Sufflamen fraenatum",1,"2018","Shelly Beach","iNat"
"Balistoides conspicillum",1,"2018","Kurnell","iNat"
"Canthigaster callisterna",1,"2018","Kurnell","iNat"
"Solenostomus paradoxus",1,"2018","Kurnell","iNat"
"Tetractenos glaber",1,"2017","Oak Park","iNat"
"Stegastes gascoynei",1,"2018","Gordons Bay","iNat"
"Myxus elongatus",1,"2018","Gordons Bay","iNat"
"Platycephalus caeruleopunctatus",1,"2018","Gordons Bay","iNat"
"Cristiceps aurantiacus",1,"2018","Gordons Bay","iNat"
"Chrysophrys auratus",1,"2018","Gordons Bay","iNat"
"Aspidontus dussumieri",1,"2018","Gordons Bay","iNat"
"Parupeneus pleurostigma",1,"2018","Shelly Beach","iNat"
"Hippocampus abdominalis",1,"2018","Bare Island","iNat"
"Trygonoptera testacea",1,"2017","Bare Island","iNat"
"Gymnothorax prasinus",1,"2017","Bare Island","iNat"
"Fistularia commersonii",1,"2018","Shelly Beach","iNat"
"Parupeneus multifasciatus",1,"2018","Shelly Beach","iNat"
"Naso unicornis",1,"2018","Shelly Beach","iNat"
"Centropyge tibicen",1,"2018","Camp Cove","iNat"
"Prionurus microlepidotus",1,"2018","Oak Park","iNat"
"Chromis hypsilepis",1,"2018","Oak Park","iNat"
"Meuschenia trachylepis",1,"2018","Oak Park","iNat"
"Gymnothorax prasinus",1,"2018","Oak Park","iNat"
"Thalassoma nigrofasciatum",1,"2018","Shelly Beach","iNat"
"Macropharyngodon meleagris",1,"2018","Shelly Beach","iNat"
"Anampses elegans",1,"2018","Shelly Beach","iNat"
"Rhabdosargus sarba",1,"2018","Shiprock","iNat"
"Parma polylepis",1,"2018","Shelly Beach","iNat"
"Chironemus marmoratus",1,"2018","Gordons Bay","iNat"
"Cnidoglanis macrocephalus",1,"2018","Gordons Bay","iNat"
"Platycephalus fuscus",1,"2018","Gordons Bay","iNat"
"Cristiceps argyropleura",1,"2018","Kurnell","iNat"
"Dendrochirus zebra",1,"2018","Kurnell","iNat"
"Pataecus fronto",1,"2018","Bare Island","iNat"
"Idiotropiscis lumnitzeri",1,"2018","Bare Island","iNat"
"Zanclus cornutus",1,"2018","Bare Island","iNat"
"Lepidotrigla papilio",1,"2018","Bare Island","iNat"
"Anoplocapros inermis",1,"2018","Bare Island","iNat"
"Coris aurilineata",1,"2018","Shelly Beach","iNat"
"Pentapodus aureofasciatus",1,"2018","Camp Cove","iNat"
"Dascyllus reticulatus",1,"2018","Shelly Beach","iNat"
"Caesio caerulaurea",1,"2018","Shelly Beach","iNat"
"Fistularia commersonii",1,"2018","Clifton Gardens","iNat"
"Anoplocapros inermis",1,"2018","Shiprock","iNat"
"Cybiosarda elegans",1,"2018","Shelly Beach","iNat"
"Lethrinus nebulosus",1,"2018","Shelly Beach","iNat"
"Carcharhinus obscurus",1,"2018","Shelly Beach","iNat"
"Labroides dimidiatus",1,"2018","Shelly Beach","iNat"
"Pterois volitans",1,"2018","Clifton Gardens","iNat"
"Epinephelus daemelii",1,"2018","Shelly Beach","iNat"
"Rhinecanthus rectangulus",1,"2018","Shelly Beach","iNat"
"Thalassoma lunare",1,"2018","Shelly Beach","iNat"
"Sufflamen chrysopterum",1,"2018","Shelly Beach","iNat"
"Parma oligolepis",1,"2018","Shelly Beach","iNat"
"Orectolobus maculatus",1,"2018","Shiprock","iNat"
"Heniochus diphreutes",1,"2018","Shiprock","iNat"
"Cleidopus gloriamaris",1,"2018","Shiprock","iNat"
"Ostracion cubicus",1,"2018","Shiprock","iNat"
"Scorpaena jacksoniensis",1,"2018","Shelly Beach","iNat"
"Ostorhinchus limenus",1,"2018","Clifton Gardens","iNat"
"Synodus jaculum",1,"2018","Bare Island","iNat"
"Suezichthys devisi",1,"2018","Clifton Gardens","iNat"
"Arothron hispidus",1,"2018","Clifton Gardens","iNat"
"Acanthurus olivaceus",1,"2018","Shelly Beach","iNat"
"Urolophus kapalensis",1,"2018","Shelly Beach","iNat"
"Stethojulis bandanensis",1,"2018","Shelly Beach","iNat"
"Cirripectes castaneus",1,"2018","Shelly Beach","iNat"
"Heniochus monoceros",1,"2018","Shelly Beach","iNat"
"Centropyge tibicen",1,"2018","Shelly Beach","iNat"
"Upeneus tragula",1,"2018","Shelly Beach","iNat"
"Parablennius intermedius",1,"2018","Shelly Beach","iNat"
"Meiacanthus atrodorsalis",1,"2018","Shelly Beach","iNat"
"Atypichthys strigatus",1,"2018","Oak Park","iNat"
"Hypoplectrodes maccullochi",1,"2018","Oak Park","iNat"
"Pempheris compressa",1,"2018","Oak Park","iNat"
"Acanthurus olivaceus",1,"2018","Shiprock","iNat"
"Naso unicornis",1,"2018","Shiprock","iNat"
"Atherinomorus vaigiensis",1,"2018","Shiprock","iNat"
"Istigobius hoesei",1,"2018","Shiprock","iNat"
"Centropogon australis",1,"2018","Shiprock","iNat"
"Chaetodon auriga",1,"2018","Shiprock","iNat"
"Chromis margaritifer",1,"2018","Shiprock","iNat"
"Gerres subfasciatus",1,"2018","Shiprock","iNat"
"Lutjanus russellii",1,"2018","Shiprock","iNat"
"Meuschenia trachylepis",1,"2018","Shiprock","iNat"
"Acanthurus dussumieri",1,"2018","Shiprock","iNat"
"Parablennius intermedius",1,"2018","Shiprock","iNat"
"Platycephalus fuscus",1,"2018","Shiprock","iNat"
"Pomatomus saltatrix",1,"2018","Shiprock","iNat"
"Siganus fuscescens",1,"2018","Shiprock","iNat"
"Sufflamen chrysopterum",1,"2018","Shiprock","iNat"
"Meuschenia freycineti",1,"2018","Shelly Beach","iNat"
"Seriola lalandi",1,"2018","Shelly Beach","iNat"
"Naso annulatus",1,"2018","Shelly Beach","iNat"
"Heniochus diphreutes",1,"2018","Shelly Beach","iNat"
"Coris picta",1,"2018","Shelly Beach","iNat"
"Paraluteres prionurus",1,"2018","Shiprock","iNat"
"Brachaluteres jacksonianus",1,"2018","Shiprock","iNat"
"Echeneis naucrates",1,"2018","Shelly Beach","iNat"
"Ostracion meleagris",1,"2018","Shelly Beach","iNat"
"Eubalichthys bucephalus",1,"2018","Shelly Beach","iNat"
"Acanthurus nigrofuscus",1,"2018","Shelly Beach","iNat"
"Thysanophrys cirronasa",1,"2018","Shelly Beach","iNat"
"Trinorfolkia clarkei",1,"2018","Shelly Beach","iNat"
"Hypoplectrodes maccullochi",1,"2018","Bare Island","iNat"
"Abudefduf vaigiensis",1,"2018","Shelly Beach","iNat"
"Platycephalus caeruleopunctatus",1,"2018","Shelly Beach","iNat"
"Scorpis lineolata",1,"2018","Shelly Beach","iNat"
"Aluterus monoceros",1,"2018","Shelly Beach","iNat"
"Pervagor alternans",1,"2018","Shelly Beach","iNat"
"Naso unicornis",1,"2018","Kurnell","iNat"
"Austrolabrus maculatus",1,"2018","Kurnell","iNat"
"Dactyloptena orientalis",1,"2018","Clifton Gardens","iNat"
"Ostorhinchus limenus",1,"2018","Bare Island","iNat"
"Upeneichthys lineatus",1,"2018","Clifton Gardens","iNat"
"Pseudolabrus guentheri",1,"2018","Clifton Gardens","iNat"
"Scorpaena jacksoniensis",1,"2018","Bare Island","iNat"
"Monacanthus chinensis",1,"2018","Clifton Gardens","iNat"
"Gerres subfasciatus",1,"2018","Shelly Beach","iNat"
"Dinolestes lewini",1,"2018","Bare Island","iNat"
"Brachaluteres jacksonianus",1,"2018","Kurnell","iNat"
"Coris picta",1,"2018","Kurnell","iNat"
"Sufflamen fraenatum",1,"2018","Kurnell","iNat"
"Prionurus microlepidotus",1,"2018","Kurnell","iNat"
"Eocallionymus papilio",1,"2018","Kurnell","iNat"
"Cirrhitichthys aprinus",1,"2018","Kurnell","iNat"
"Mugil cephalus",1,"2018","Shiprock","iNat"
"Kyphosus sydneyanus",1,"2018","Shelly Beach","iNat"
"Aspidontus taeniatus",1,"2018","Shiprock","iNat"
"Ophthalmolepis lineolata",1,"2018","Bare Island","iNat"
"Brachaluteres jacksonianus",1,"2018","Clifton Gardens","iNat"
"Microcanthus strigatus",1,"2018","Clifton Gardens","iNat"
"Notolabrus gymnogenis",1,"2018","Bare Island","iNat"
"Parupeneus spilurus",1,"2018","Oak Park","iNat"
"Kyphosus sydneyanus",1,"2018","Oak Park","iNat"
"Acanthurus olivaceus",1,"2018","Oak Park","iNat"
"Plagiotremus laudandus",1,"2018","Shelly Beach","iNat"
"Plotosus lineatus",1,"2018","Shelly Beach","iNat"
"Chaetodon guentheri",1,"2018","Shelly Beach","iNat"
"Scarus rubroviolaceus",1,"2018","Shelly Beach","iNat"
"Scarus ghobban",1,"2018","Shelly Beach","iNat"
"Lactoria fornasini",1,"2018","Clifton Gardens","iNat"
"Paragobiodon modestus",1,"2018","Shelly Beach","iNat"
"Parupeneus cyclostomus",1,"2018","Shelly Beach","iNat"
"Ctenochaetus binotatus",1,"2018","Shelly Beach","iNat"
"Kuhlia mugil",1,"2018","Shelly Beach","iNat"
"Acanthaluteres vittiger",1,"2018","Shelly Beach","iNat"
"Chromis hypsilepis",1,"2018","Shelly Beach","iNat"
"Festucalex cinctus",1,"2018","Clifton Gardens","iNat"
"Aseraggodes lenisquamis",1,"2017","Clifton Gardens","iNat"
"Canthigaster bennetti",1,"2018","Shelly Beach","iNat"
"Eocallionymus papilio",1,"2018","Bare Island","iNat"
"Parablennius intermedius",1,"2018","Kurnell","iNat"
"Vincentia novaehollandiae",1,"2018","Clifton Gardens","iNat"
"Batrachomoeus dubius",1,"2018","Bare Island","iNat"
"Aploactisoma milesii",1,"2017","Clifton Gardens","iNat"
"Plagiotremus rhinorhynchos",1,"2018","Gordons Bay","iNat"
"Dendrochirus zebra",1,"2018","Shelly Beach","iNat"
"Arothron firmamentum",1,"2018","Shelly Beach","iNat"
"Acanthurus mata",1,"2018","Shelly Beach","iNat"
"Forcipiger flavissimus",1,"2018","Shelly Beach","iNat"
"Pterois volitans",1,"2018","Shelly Beach","iNat"
"Suezichthys arquatus",1,"2018","Shelly Beach","iNat"
"Optivus agastos",1,"2018","Shelly Beach","iNat"
"Synodus dermatogenys",1,"2018","Shelly Beach","iNat"
"Plagiotremus rhinorhynchos",1,"2018","Shelly Beach","iNat"
"Halichoeres marginatus",1,"2018","Shelly Beach","iNat"
"Canthigaster bennetti",1,"2018","Kurnell","iNat"
"Eupetrichthys angustipes",1,"2018","Oak Park","iNat"
"Paraluteres prionurus",1,"2018","Oak Park","iNat"
"Cheilio inermis",1,"2018","Shelly Beach","iNat"
"Mulloidichthys vanicolensis",1,"2018","Shelly Beach","iNat"
"Naso hexacanthus",1,"2018","Shelly Beach","iNat"
"Rhinecanthus rectangulus",1,"2018","Kurnell","iNat"
"Stigmatopora argus",1,"2018","Kurnell","iNat"
"Stethojulis bandanensis",1,"2018","Gordons Bay","iNat"
"Ptereleotris microlepis",1,"2018","Gordons Bay","iNat"
"Eocallionymus papilio",1,"2018","Gordons Bay","iNat"
"Soleichthys microcephalus",1,"2018","Clifton Gardens","iNat"
"Hypoplectrodes maccullochi",1,"2018","Clifton Gardens","iNat"
"Parupeneus spilurus",1,"2018","Clifton Gardens","iNat"
"Eupetrichthys angustipes",1,"2018","Bare Island","iNat"
"Chaetodon guentheri",1,"2018","Oak Park","iNat"
"Pentaceropsis recurvirostris",1,"2018","Oak Park","iNat"
"Abudefduf vaigiensis",1,"2018","Oak Park","iNat"
"Zanclus cornutus",1,"2018","Oak Park","iNat"
"Lotella rhacina",1,"2018","Oak Park","iNat"
"Bathytoshia brevicaudata",1,"2018","Oak Park","iNat"
"Eubalichthys bucephalus",1,"2018","Oak Park","iNat"
"Lutjanus kasmira",1,"2018","Clifton Gardens","iNat"
"Pervagor janthinosoma",1,"2018","Clifton Gardens","iNat"
"Trachypoma macracanthus",1,"2018","Clifton Gardens","iNat"
"Dendrochirus brachypterus",1,"2018","Camp Cove","iNat"
"Pseudorhombus jenynsii",1,"2018","Camp Cove","iNat"
"Trachurus novaezelandiae",1,"2018","Camp Cove","iNat"
"Heterodontus portusjacksoni",1,"2018","Camp Cove","iNat"
"Halichoeres hartzfeldii",1,"2018","Shelly Beach","iNat"
"Upeneus australiae",1,"2018","Shelly Beach","iNat"
"Chrysiptera notialis",1,"2018","Shelly Beach","iNat"
"Acanthurus nigrofuscus",1,"2018","Oak Park","iNat"
"Eubalichthys mosaicus",1,"2018","Oak Park","iNat"
"Cheilodactylus fuscus",1,"2018","Clifton Gardens","iNat"
"Brachaluteres jacksonianus",1,"2018","Oak Park","iNat"
"Trachurus novaezelandiae",1,"2018","Clifton Gardens","iNat"
"Cheilodactylus fuscus",1,"2018","Bare Island","iNat"
"Platycephalus fuscus",1,"2017","Shiprock","iNat"
"Gerres subfasciatus",1,"2018","Clifton Gardens","iNat"
"Hypoplectrodes nigroruber",1,"2018","Oak Park","iNat"
"Coris picta",1,"2018","Oak Park","iNat"
"Tetractenos hamiltoni",1,"2018","Camp Cove","iNat"
"Gerres subfasciatus",1,"2018","Camp Cove","iNat"
"Brachaluteres jacksonianus",1,"2018","Camp Cove","iNat"
"Torquigener pleurogramma",1,"2018","Camp Cove","iNat"
"Repomucenus calcaratus",1,"2018","Camp Cove","iNat"
"Chironemus marmoratus",1,"2018","Camp Cove","iNat"
"Microcanthus strigatus",1,"2018","Camp Cove","iNat"
"Pardachirus hedleyi",1,"2018","Camp Cove","iNat"
"Solenostomus paradoxus",1,"2018","Shelly Beach","iNat"
"Acanthopagrus australis",1,"2018","Clifton Gardens","iNat"
"Parma microlepis",1,"2018","Bare Island","iNat"
"Platycephalus fuscus",1,"2018","Shelly Beach","iNat"
"Filicampus tigris",1,"2018","Clifton Gardens","iNat"
"Arothron nigropunctatus",1,"2018","Clifton Gardens","iNat"
"Eocallionymus papilio",1,"2018","Shelly Beach","iNat"
"Chaetodon auriga",1,"2018","Shelly Beach","iNat"
"Ptereleotris evides",1,"2018","Shelly Beach","iNat"
"Orectolobus halei",1,"2018","Oak Park","iNat"
"Aploactisoma milesii",1,"2018","Clifton Gardens","iNat"
"Paramonacanthus otisensis",1,"2018","Clifton Gardens","iNat"
"Lactoria diaphana",1,"2018","Clifton Gardens","iNat"
"Anoplocapros inermis",1,"2018","Oak Park","iNat"
"Cheilodactylus fuscus",1,"2018","Oak Park","iNat"
"Pseudocaranx georgianus",1,"2018","Oak Park","iNat"
"Paracaesio xanthura",1,"2018","Oak Park","iNat"
"Chaetodon citrinellus",1,"2018","Shiprock","iNat"
"Pegasus volitans",1,"2018","Clifton Gardens","iNat"
"Eurypegasus draconis",1,"2018","Clifton Gardens","iNat"
"Upeneichthys lineatus",1,"2018","Oak Park","iNat"
"Meuschenia trachylepis",1,"2018","Bare Island","iNat"
"Enoplosus armatus",1,"2018","Shiprock","iNat"
"Upeneichthys lineatus",1,"2018","Bare Island","iNat"
"Mulloidichthys vanicolensis",1,"2018","Shiprock","iNat"
"Dendrochirus brachypterus",1,"2018","Kurnell","iNat"
"Eocallionymus papilio",1,"2018","Camp Cove","iNat"
"Bathytoshia brevicaudata",1,"2018","Clifton Gardens","iNat"
"Arothron nigropunctatus",1,"2018","Bare Island","iNat"
"Parupeneus spilurus",1,"2018","Bare Island","iNat"
"Latropiscis purpurissatus",1,"2017","Kurnell","iNat"
"Sufflamen chrysopterum",1,"2018","Bare Island","iNat"
"Lutjanus russellii",1,"2018","Shelly Beach","iNat"
